,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
173932,3,SENIOR,231,152,65 to 74 years,X,Main Library,June,2016.0,z,email,True,2012,True,
305043,2,YOUNG ADULT,2,0,10 to 19 years,X,Main Library,February,2016.0,z,email,True,2016,True,
113366,0,ADULT,104,121,45 to 54 years,W4,Western Addition,June,2016.0,z,email,True,2005,True,
225803,0,ADULT,6,7,35 to 44 years,O7,Ortega,November,2015.0,z,email,True,2014,True,
12201,0,ADULT,136,73,45 to 54 years,C2,Chinatown,October,2015.0,z,email,True,2010,True,
222971,0,ADULT,15,4,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2007,True,
114542,0,ADULT,27,0,45 to 54 years,X,Main Library,July,2015.0,z,email,True,2010,True,
238244,3,SENIOR,7,0,65 to 74 years,X,Main Library,July,2016.0,z,email,True,2016,True,
1092,0,ADULT,1,2,55 to 59 years,S7,Sunset,August,2015.0,z,email,True,2010,True,
185496,0,ADULT,4,0,25 to 34 years,M4,Merced,February,2015.0,z,email,True,2006,True,
27789,0,ADULT,9,0,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,True,
20212,0,ADULT,6,2,25 to 34 years,X,Main Library,July,2015.0,z,email,True,2011,True,
185898,0,ADULT,3,5,35 to 44 years,X,Main Library,February,2015.0,z,email,True,2014,True,
49924,0,ADULT,207,82,35 to 44 years,W4,Western Addition,August,2015.0,z,email,True,2013,True,
295320,0,ADULT,17,35,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2015,True,
247058,0,ADULT,10,20,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2015,True,
20130,3,SENIOR,1,0,65 to 74 years,X,Main Library,January,2016.0,z,email,True,2015,True,
97291,0,ADULT,20,17,60 to 64 years,X,Main Library,June,2016.0,z,email,True,2014,True,
154908,0,ADULT,10,0,25 to 34 years,P3,Parkside,May,2016.0,p,phone,False,2016,True,
91190,0,ADULT,1,0,25 to 34 years,R3,Richmond,February,2015.0,z,email,True,2015,True,
30737,0,ADULT,8,6,55 to 59 years,W4,Western Addition,April,2016.0,z,email,True,2010,True,
272430,0,ADULT,15,2,55 to 59 years,X,Main Library,January,2015.0,z,email,True,2003,True,
224957,0,ADULT,46,0,25 to 34 years,X,Main Library,November,2015.0,z,email,True,2015,True,
223310,0,ADULT,13,6,60 to 64 years,X,Main Library,May,2015.0,z,email,True,2015,True,
189253,0,ADULT,9,0,20 to 24 years,O7,Ortega,February,2016.0,z,email,True,2012,True,
85385,0,ADULT,203,136,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2006,True,
56848,3,SENIOR,35,12,65 to 74 years,X,Main Library,February,2015.0,p,phone,False,2003,True,
54374,0,ADULT,0,0,60 to 64 years,X,Main Library,July,2015.0,p,phone,False,2015,True,
229622,3,SENIOR,9,4,65 to 74 years,X,Main Library,July,2016.0,z,email,True,2015,True,
183629,0,ADULT,65,117,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2011,True,
291248,0,ADULT,1,0,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2015,True,
181845,0,ADULT,133,204,25 to 34 years,M4,Merced,February,2016.0,z,email,True,2003,True,
122797,0,ADULT,101,2,45 to 54 years,I5,Ingleside,July,2016.0,z,email,True,2007,True,
389816,1,JUVENILE,2,2,10 to 19 years,M4,Merced,June,2016.0,z,email,True,2016,True,
187687,4,WELCOME,6,0,25 to 34 years,X,Main Library,February,2016.0,z,email,True,2014,True,
174563,0,ADULT,12,28,25 to 34 years,M8,Mission Bay,June,2016.0,z,email,True,2010,True,
17901,0,ADULT,51,8,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2010,True,
251980,0,ADULT,4,4,60 to 64 years,M6,Mission,September,2015.0,z,email,True,2014,True,
274163,0,ADULT,5,0,20 to 24 years,X,Main Library,December,2015.0,z,email,True,2015,True,
160178,0,ADULT,12,8,25 to 34 years,X,Main Library,July,2015.0,z,email,True,2011,True,
377981,0,ADULT,26,0,35 to 44 years,M6,Mission,March,2015.0,p,phone,False,2014,True,
129394,0,ADULT,3,7,25 to 34 years,M8,Mission Bay,February,2015.0,z,email,True,2014,True,
5937,0,ADULT,18,4,25 to 34 years,W4,Western Addition,February,2016.0,z,email,True,2011,True,
262596,0,ADULT,26,34,25 to 34 years,S7,Sunset,May,2016.0,z,email,True,2003,True,
49035,0,ADULT,4,4,45 to 54 years,X,Main Library,July,2015.0,z,email,True,2014,True,
177495,0,ADULT,7,23,55 to 59 years,X,Main Library,July,2015.0,z,email,True,2013,True,
216702,0,ADULT,8,39,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2008,True,
87016,0,ADULT,21,43,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2011,True,
196655,0,ADULT,119,237,35 to 44 years,C2,Chinatown,May,2015.0,z,email,True,2009,True,
148182,4,WELCOME,1,0,25 to 34 years,X,Main Library,November,2015.0,z,email,True,2015,True,
33588,0,ADULT,29,19,55 to 59 years,X,Main Library,January,2015.0,z,email,True,2010,True,
277052,0,ADULT,56,6,35 to 44 years,R3,Richmond,May,2015.0,z,email,True,2009,True,
130803,0,ADULT,29,70,35 to 44 years,M4,Merced,May,2016.0,z,email,True,2012,True,
211363,0,ADULT,4,0,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2010,True,
276530,0,ADULT,4,2,25 to 34 years,X,Main Library,September,2015.0,p,phone,False,2015,True,
298963,0,ADULT,1,3,35 to 44 years,X,Main Library,February,2015.0,z,email,True,2014,True,
166794,0,ADULT,2,0,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2010,True,
167834,0,ADULT,1,0,45 to 54 years,E9,Excelsior,June,2016.0,z,email,True,2014,True,10.0
59261,0,ADULT,1,0,25 to 34 years,M6,Mission,March,2015.0,z,email,True,2015,True,
67702,0,ADULT,220,238,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2014,True,
108867,0,ADULT,2,4,45 to 54 years,P3,Parkside,June,2015.0,z,email,True,2015,True,
238411,0,ADULT,0,0,45 to 54 years,R3,Richmond,September,2015.0,z,email,True,2015,True,
277223,3,SENIOR,3,0,65 to 74 years,M4,Merced,July,2016.0,p,phone,False,2016,True,
158243,0,ADULT,88,17,60 to 64 years,X,Main Library,April,2016.0,z,email,True,2003,True,
76807,0,ADULT,43,0,25 to 34 years,X,Main Library,July,2016.0,p,phone,False,2014,True,
137986,0,ADULT,3,3,25 to 34 years,X,Main Library,February,2016.0,z,email,True,2010,True,
300599,0,ADULT,151,158,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2007,True,
76015,0,ADULT,5,0,35 to 44 years,X,Main Library,October,2015.0,z,email,True,2012,True,
368240,2,YOUNG ADULT,1,0,10 to 19 years,X,Main Library,February,2016.0,z,email,True,2016,True,
283914,0,ADULT,85,5,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2011,True,
59636,0,ADULT,4,0,25 to 34 years,X,Main Library,December,2015.0,z,email,True,2015,True,
161921,0,ADULT,59,27,45 to 54 years,X,Main Library,March,2015.0,z,email,True,2003,True,
206541,0,ADULT,2,0,55 to 59 years,M4,Merced,July,2016.0,z,email,True,2014,True,
363996,1,JUVENILE,90,24,10 to 19 years,O7,Ortega,September,2015.0,z,email,True,2011,True,
217702,0,ADULT,9,0,20 to 24 years,X,Main Library,May,2016.0,z,email,True,2015,True,
41101,0,ADULT,13,2,25 to 34 years,X,Main Library,May,2016.0,z,email,True,2012,True,
238890,0,ADULT,7,9,25 to 34 years,M6,Mission,February,2015.0,z,email,True,2009,True,
122616,0,ADULT,166,182,55 to 59 years,X,Main Library,October,2015.0,z,email,True,2003,True,
282606,0,ADULT,112,105,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2013,True,
186584,4,WELCOME,1,0,25 to 34 years,M8,Mission Bay,July,2016.0,z,email,True,2016,True,
124091,3,SENIOR,11,1,65 to 74 years,M6,Mission,April,2015.0,z,email,True,2008,True,
209684,0,ADULT,7,15,25 to 34 years,X,Main Library,May,2015.0,z,email,True,2014,True,
327062,0,ADULT,55,7,35 to 44 years,C2,Chinatown,July,2016.0,z,email,True,2003,True,
23362,0,ADULT,6,1,65 to 74 years,X,Main Library,December,2015.0,z,email,True,2012,True,
254552,0,ADULT,230,22,45 to 54 years,C2,Chinatown,March,2015.0,z,email,True,2008,True,
234651,0,ADULT,11,0,25 to 34 years,I5,Ingleside,December,2015.0,p,phone,False,2012,True,
86713,4,WELCOME,1,0,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2015,True,
143786,0,ADULT,5,2,20 to 24 years,X,Main Library,December,2015.0,z,email,True,2015,True,
166415,0,ADULT,17,10,55 to 59 years,I5,Ingleside,March,2016.0,z,email,True,2011,True,
109323,0,ADULT,8,8,45 to 54 years,X,Main Library,May,2016.0,z,email,True,2009,True,
182246,0,ADULT,31,17,25 to 34 years,M8,Mission Bay,March,2016.0,z,email,True,2008,True,
328084,1,JUVENILE,109,9,10 to 19 years,P3,Parkside,June,2016.0,z,email,True,2011,True,
415084,0,ADULT,3,3,35 to 44 years,W4,Western Addition,November,2015.0,z,email,True,2014,True,
101214,0,ADULT,20,1,25 to 34 years,X,Main Library,March,2015.0,p,phone,False,2012,True,
126555,0,ADULT,4,0,60 to 64 years,R3,Richmond,April,2016.0,p,phone,True,2016,True,
182154,3,SENIOR,111,15,65 to 74 years,X,Main Library,February,2015.0,p,phone,False,2012,True,
237136,0,ADULT,1,0,45 to 54 years,X,Main Library,February,2015.0,z,email,True,2015,True,
250617,0,ADULT,60,0,25 to 34 years,M6,Mission,June,2015.0,z,email,True,2013,True,
88097,3,SENIOR,23,21,65 to 74 years,X,Main Library,March,2016.0,z,email,True,2014,True,
302406,0,ADULT,14,24,25 to 34 years,M2,Marina,April,2015.0,z,email,True,2013,True,
39650,0,ADULT,34,9,20 to 24 years,X,Main Library,January,2016.0,z,email,True,2012,True,
103425,0,ADULT,2,0,55 to 59 years,M2,Marina,November,2015.0,z,email,True,2015,True,
138743,0,ADULT,0,0,45 to 54 years,X,Main Library,November,2015.0,z,email,True,2013,True,
48726,0,ADULT,4,1,35 to 44 years,X,Main Library,May,2016.0,p,phone,False,2007,True,
15392,0,ADULT,21,2,35 to 44 years,M8,Mission Bay,July,2016.0,z,email,True,2014,True,
174882,0,ADULT,21,9,20 to 24 years,X,Main Library,June,2015.0,z,email,True,2011,True,
124048,0,ADULT,7,0,20 to 24 years,W2,West Portal,April,2016.0,z,email,True,2013,True,
114493,0,ADULT,40,23,45 to 54 years,C2,Chinatown,July,2015.0,a,print,True,2006,True,
3212,0,ADULT,72,40,25 to 34 years,M4,Merced,December,2015.0,p,phone,True,2004,True,
169282,4,WELCOME,0,0,20 to 24 years,X,Main Library,June,2016.0,z,email,True,2016,True,
89680,0,ADULT,23,20,25 to 34 years,X,Main Library,June,2016.0,a,print,True,2005,True,
144792,0,ADULT,9,4,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2008,True,
114986,0,ADULT,1,0,25 to 34 years,X,Main Library,April,2015.0,z,email,True,2015,True,
91349,0,ADULT,1,2,25 to 34 years,R3,Richmond,December,2015.0,z,email,True,2014,True,
341007,2,YOUNG ADULT,14,8,10 to 19 years,X,Main Library,July,2016.0,z,email,True,2014,True,
264437,0,ADULT,16,1,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2014,True,
288710,0,ADULT,15,0,20 to 24 years,M8,Mission Bay,July,2015.0,z,email,True,2015,True,
184144,0,ADULT,134,149,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2009,True,
54672,4,WELCOME,1,0,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2015,True,
283041,0,ADULT,3,4,55 to 59 years,X,Main Library,December,2015.0,z,email,True,2013,True,
7475,3,SENIOR,56,5,65 to 74 years,W4,Western Addition,December,2015.0,z,email,True,2003,True,
97462,0,ADULT,21,2,35 to 44 years,I5,Ingleside,February,2015.0,z,email,True,2009,True,
76506,0,ADULT,61,19,25 to 34 years,X,Main Library,June,2016.0,z,email,True,2014,True,
114965,0,ADULT,4,0,35 to 44 years,W4,Western Addition,June,2015.0,z,email,True,2012,True,
70130,0,ADULT,2,0,45 to 54 years,P3,Parkside,May,2016.0,z,email,True,2016,True,
360830,0,ADULT,97,88,65 to 74 years,C2,Chinatown,June,2016.0,p,phone,False,2005,True,
49571,0,ADULT,8,16,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2015,True,
178970,0,ADULT,7,1,25 to 34 years,R3,Richmond,July,2016.0,z,email,True,2015,True,
351427,1,JUVENILE,3,0,10 to 19 years,C2,Chinatown,July,2016.0,a,print,False,2016,True,
240214,0,ADULT,8,1,25 to 34 years,X,Main Library,July,2015.0,z,email,True,2009,True,
192398,0,ADULT,13,27,55 to 59 years,X,Main Library,May,2016.0,p,phone,False,2015,True,
211935,0,ADULT,194,12,45 to 54 years,O7,Ortega,June,2016.0,z,email,True,2011,True,
361589,0,ADULT,7,0,10 to 19 years,X,Main Library,July,2016.0,z,email,True,2015,True,
266706,0,ADULT,15,10,35 to 44 years,X,Main Library,April,2015.0,z,email,True,2009,True,
124936,0,ADULT,6,0,45 to 54 years,E9,Excelsior,August,2015.0,z,email,True,2014,True,
275035,0,ADULT,0,0,45 to 54 years,X,Main Library,February,2016.0,z,email,True,2009,True,
320983,2,YOUNG ADULT,1,0,10 to 19 years,X,Main Library,November,2015.0,p,phone,False,2015,True,
75617,0,ADULT,95,49,35 to 44 years,S7,Sunset,March,2016.0,z,email,True,2010,True,
178234,0,ADULT,2,0,20 to 24 years,X,Main Library,February,2016.0,z,email,True,2016,True,
259509,3,SENIOR,57,18,65 to 74 years,M6,Mission,June,2016.0,z,email,True,2003,True,
279492,0,ADULT,5,5,55 to 59 years,X,Main Library,March,2015.0,z,email,True,2015,True,
110856,0,ADULT,100,63,25 to 34 years,I5,Ingleside,May,2016.0,z,email,True,2014,True,
188310,0,ADULT,174,111,25 to 34 years,M4,Merced,January,2016.0,z,email,True,2005,True,
159889,0,ADULT,4,1,60 to 64 years,M6,Mission,July,2016.0,z,email,True,2015,True,
331853,2,YOUNG ADULT,33,52,10 to 19 years,X,Main Library,August,2015.0,a,print,False,2015,True,
236551,3,SENIOR,47,23,65 to 74 years,X,Main Library,May,2015.0,z,email,True,2008,True,
89066,0,ADULT,107,166,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,True,
375279,1,JUVENILE,118,39,10 to 19 years,M6,Mission,September,2015.0,p,phone,False,2011,True,
166997,0,ADULT,35,1,25 to 34 years,M8,Mission Bay,October,2015.0,z,email,True,2015,True,
279363,0,ADULT,34,26,25 to 34 years,M6,Mission,April,2015.0,z,email,True,2012,True,
287407,0,ADULT,13,0,25 to 34 years,X,Main Library,September,2015.0,p,phone,False,2015,True,
296304,0,ADULT,1,2,25 to 34 years,X,Main Library,April,2015.0,z,email,True,2015,True,
55578,0,ADULT,19,0,25 to 34 years,M8,Mission Bay,February,2016.0,z,email,True,2014,True,
99722,0,ADULT,87,123,35 to 44 years,X,Main Library,October,2015.0,a,print,False,2012,True,
119479,0,ADULT,7,0,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2011,True,
199012,3,SENIOR,4,0,65 to 74 years,X,Main Library,January,2016.0,p,phone,True,2014,True,
322458,0,ADULT,3,1,10 to 19 years,X,Main Library,February,2016.0,z,email,True,2016,True,
121578,0,ADULT,14,0,20 to 24 years,M6,Mission,April,2016.0,z,email,True,2015,True,
202951,0,ADULT,5,9,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2014,True,
42649,0,ADULT,4,1,25 to 34 years,I5,Ingleside,January,2016.0,p,phone,False,2015,True,
233846,0,ADULT,1,0,25 to 34 years,X,Main Library,November,2015.0,z,email,True,2015,True,
139701,3,SENIOR,27,7,60 to 64 years,X,Main Library,January,2015.0,p,phone,False,2003,True,
20567,0,ADULT,63,14,55 to 59 years,X,Main Library,December,2015.0,z,email,True,2004,True,
28652,0,ADULT,3,3,25 to 34 years,S7,Sunset,March,2016.0,z,email,True,2015,True,
345873,0,ADULT,1,1,10 to 19 years,W2,West Portal,December,2015.0,z,email,True,2015,True,
