,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
214427,0,ADULT,16,2,35 to 44 years,X,Main Library,April,2015.0,z,email,True,2012,True,
104958,3,SENIOR,22,8,65 to 74 years,M6,Mission,September,2015.0,p,phone,False,2003,True,
58654,0,ADULT,85,88,55 to 59 years,X,Main Library,June,2016.0,z,email,True,2003,True,
236185,0,ADULT,22,48,35 to 44 years,O7,Ortega,December,2015.0,z,email,True,2013,True,
47040,0,ADULT,1,0,35 to 44 years,X,Main Library,September,2015.0,p,phone,False,2015,True,
255343,0,ADULT,32,31,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2015,True,
19694,0,ADULT,36,0,45 to 54 years,W4,Western Addition,June,2016.0,z,email,True,2016,True,
380968,1,JUVENILE,4,0,10 to 19 years,M2,Marina,June,2016.0,z,email,True,2016,True,
11478,0,ADULT,1,0,25 to 34 years,M8,Mission Bay,June,2015.0,z,email,True,2014,True,
7897,0,ADULT,1,0,20 to 24 years,X,Main Library,June,2016.0,z,email,True,2016,True,
254272,0,ADULT,49,20,35 to 44 years,X,Main Library,July,2016.0,p,phone,True,2015,True,
136366,0,ADULT,28,12,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2012,True,
151500,3,SENIOR,8,1,65 to 74 years,X,Main Library,July,2015.0,z,email,True,2008,True,
109086,0,ADULT,115,25,35 to 44 years,M6,Mission,November,2015.0,z,email,True,2003,True,
62957,0,ADULT,9,3,20 to 24 years,M6,Mission,February,2016.0,z,email,True,2015,True,
195113,4,WELCOME,2,0,25 to 34 years,X,Main Library,March,2015.0,z,email,True,2011,True,
15131,0,ADULT,61,7,45 to 54 years,M8,Mission Bay,September,2015.0,z,email,True,2008,True,
54140,0,ADULT,20,5,35 to 44 years,M2,Marina,July,2016.0,z,email,True,2009,True,11.0
402012,0,ADULT,25,0,10 to 19 years,X,Main Library,January,2016.0,z,email,True,2016,True,
192946,3,SENIOR,0,0,65 to 74 years,W4,Western Addition,January,2015.0,z,email,True,2012,True,
329800,0,ADULT,9,6,10 to 19 years,W2,West Portal,January,2016.0,z,email,True,2012,True,
88823,0,ADULT,3,0,35 to 44 years,X,Main Library,March,2015.0,z,email,True,2014,True,
224854,10,VISITOR,4,5,55 to 59 years,C2,Chinatown,December,2015.0,z,email,True,2015,True,3.0
53153,0,ADULT,29,22,55 to 59 years,M4,Merced,August,2015.0,z,email,True,2003,True,
102332,0,ADULT,27,12,45 to 54 years,O7,Ortega,May,2016.0,z,email,True,2004,True,
311759,2,YOUNG ADULT,16,2,10 to 19 years,I5,Ingleside,December,2015.0,z,email,True,2015,True,
273607,0,ADULT,7,14,35 to 44 years,X,Main Library,April,2015.0,a,print,False,2015,True,
277871,0,ADULT,45,7,25 to 34 years,X,Main Library,May,2016.0,a,print,False,2015,True,
249460,0,ADULT,56,34,35 to 44 years,M8,Mission Bay,April,2016.0,z,email,True,2009,True,
105175,0,ADULT,1,4,25 to 34 years,C2,Chinatown,May,2015.0,z,email,True,2015,True,
111662,0,ADULT,26,15,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2016,True,
122476,0,ADULT,5,0,25 to 34 years,M2,Marina,September,2015.0,z,email,True,2015,True,
122724,0,ADULT,116,122,25 to 34 years,M6,Mission,January,2015.0,z,email,True,2005,True,
390841,2,YOUNG ADULT,4,2,10 to 19 years,E9,Excelsior,September,2015.0,a,print,False,2012,True,
154650,0,ADULT,20,7,60 to 64 years,M8,Mission Bay,April,2015.0,z,email,True,2014,True,
72483,0,ADULT,121,62,45 to 54 years,X,Main Library,July,2015.0,z,email,True,2009,True,
151205,0,ADULT,37,0,60 to 64 years,R3,Richmond,January,2015.0,z,email,True,2003,True,
277212,0,ADULT,18,8,55 to 59 years,X,Main Library,August,2015.0,z,email,True,2007,True,
369530,0,ADULT,4,0,65 to 74 years,X,Main Library,January,2016.0,z,email,True,2011,True,
2360,0,ADULT,1,0,20 to 24 years,X,Main Library,March,2015.0,z,email,True,2015,True,
286534,4,WELCOME,1,2,35 to 44 years,X,Main Library,February,2015.0,p,phone,False,2014,True,
