type,country,species,injury,date,sex,fatal
Provoked,USA,5' shark,abrasion to leg from netted shark provoked incident,Reported 04-Sep-1909,M,False
Unprovoked,USA,White shark,fatal,13-Aug-1909,M,True
Unprovoked,USA,White shark,right leg bitten,24-Jul-1909,M,False
Unprovoked,USA,White shark,hip & thigh lacerated,15-Jul-1909,M,False
Unprovoked,MEXICO,White shark,fatal,Reported 26-Jun-1909,F,True
Unprovoked,SOUTH AFRICA,18-foot shark,remains of soldier in uniform. probable drowning & scavenging,26-Jun-1909,M,False
Sea Disaster,AUSTRALIA,White shark,"fatal, only his legs, still in sea-boots, were recovered",18-Jun-1909,M,True
Provoked,SPAIN,White shark,shark knocked him down after he grabbed it by the tail. no injury.   provoked incident,Reported 27-Apr-1909,M,False
Invalid,USA,Questionable,search party saw a large shark devour what appeared to be part of her body,10-Apr-1909,F,False
Unprovoked,TUNISIA,White shark,fatal,Reported 09-Apr-1909,M,True
Sea Disaster,SOUTH AFRICA,White shark,fatal,06-Mar-1909,F,True
Unprovoked,SOUTH AFRICA,White shark,fatal,31-Dec-1908,M,True
Unprovoked,MEXICO,White shark,"fatal, ""bitten in two""",Reported 16-Dec-1908,M,True
Unprovoked,AUSTRALIA,Remains recovered from 3 sharks,fatal,   21-Sep-1908,M,True
Unprovoked,USA,White shark,lacerations to fingers,05-Sep-1908,M,False
Unprovoked,SPAIN,White shark,fatal,Reported 28-Aug-1908,M,True
Unprovoked,CROATIA,"Species unknown, possible white shark","fatal, lost a leg",Reported 08-Jul-1908,F,True
Unprovoked,EGYPT,White shark,fatal,18-Jun-1908,M,True
Sea Disaster,USA,White shark,fatal,08-Jun-1908,M,True
Sea Disaster,PAPUA NEW GUINEA,Allegedly a 33-foot shark,"remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed",Reported 02-Jun-1908,.,False
Sea Disaster,INDONESIA,White shark,fatal,13-May-1908,F,True
Invalid,USA,Questionable,"fatal, but shark involvement prior to death was not confirmed",10-May-1908,M,True
Unprovoked,USA,White shark,"fatal, ""pulled below the surface'",08-Jan-1908,M,True
Unprovoked,AUSTRALIA,Bull shark,fatal,21-Dec-1907,M,True
Unprovoked,AUSTRALIA,White shark,fatal,Reported 18-Oct-1907,M,True
Unprovoked,CHINA,Shark involvement probable,"3 of thel 5 were injured, one of whom lost both hands",Reported 16-Oct-1907,M,False
Unprovoked,CHINA,Shark involvement probable,2 of the 5 fishermen were so seriously injured they died of their wounds,Reported 16-Oct-1907,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to left arm from shoulder to wrist,14-Oct-1907,M,False
Invalid,HAITI,Invalid,"no attack, no injury",12-Oct-1907,M,False
Unprovoked,USA,White shark,"arm severed at elbow,  surgically amputated at shoulder",08-Oct-1907,M,False
Invalid,ENGLAND,Questionable,"""struck across loins"" but no injury. according to witnesses, incident involved a bottlenose dolphin.",Reported 19-Sep-1907,M,False
Unprovoked,CROATIA,White shark,fatal,11-Sep-1907,F,True
Unprovoked,CROATIA,White shark,fatal,Reported 12-Aug-1907,F,True
Unprovoked,CROATIA,White shark,fatal,Reported 12-Aug-1907,M,True
Unprovoked,USA,White shark,abrasion to chest,Reported 08-Aug-1907,M,False
Unprovoked,CROATIA,White shark,fatal,Reported 14-Jul-1907,F,True
Invalid,AUSTRALIA,Questionable,"disappeared, but shark involvement unconfirmed",Reported 04-Jul-1907,M,False
Unprovoked,USA,1.5 m [5'] shark,slight injuries to left knee & calf,Jul-1907,M,False
Unprovoked,MEXICO,White shark,"3 fingers & thigh lacerated, foot crushed",20-Apr-1907,M,False
Unprovoked,USA,White shark,"fatal, shark bit his side, nearly cutting him in two",26-Mar-1907,M,True
Unprovoked,MALTA,"White shark, 6 m ","fatal,            fell overboard and were killed by shark",07-Mar-1907,M,True
Unprovoked,PHILIPPINES,White shark,finger severed,09-Feb-1907,M,False
Unprovoked,NEW ZEALAND,White shark,"fatal, leg severely bitten",05-Feb-1907,M,True
Unprovoked,AUSTRALIA,White shark,fatal,03-Feb-1907,M,True
Unprovoked,VIETNAM,White shark,"leg severely bitten, surgically amputated",1907,M,False
Unprovoked,USA,White shark,fatal,1907,M,True
Unprovoked,JAMAICA,White shark,leg bitten,16-Nov-1906,M,False
Unprovoked,USA,White shark,buttock bitten,Reported 10-Oct-1906,M,False
Unprovoked,USA,White shark,fatal,Reported 10-Oct-1906,M,True
Unprovoked,USA,White shark,arm severed,Reported 10-Oct-1906,M,False
Unprovoked,USA,White shark,fatal,Reported 10-Oct-1906,M,True
Unprovoked,INDONESIA,White shark,thumb & index finger of left hand severed,Reported 27-Sep-1906,M,False
Unprovoked,INDONESIA,White shark,fatal,Reported 27-Sep-1906,M,True
Unprovoked,AUSTRALIA,White shark,fatal,Reported 05-Sep-1906,M,True
Provoked,USA,"Shortfin mako shark, 175-lb ",provoked incident        no injury; shirt torn by gaffed shark,Sep-1906,M,False
Unprovoked,YEMEN ,White shark,leg severed. injury originally thought due to boat's propeller,20-Aug-1906,M,False
Unprovoked,USA,Remains recovered 5 days later,fatal,04-Aug-1906,M,True
Unprovoked,USA,Fishermen recovered partial remains from shark a week later,fatal,Reported 05-Jul-1906,M,True
Invalid,MOZAMBIQUE,Questionable,sanna may have drowned; his hand  (identified by ring on finger) found in a shark at the market,Jul-1906,M,False
Unprovoked,INDONESIA,White shark,fatal,Reported 27-Apr-1906,M,True
Provoked,AUSTRALIA,13' shark,finger severed by shark he had shot & stabbed provoked incident,16-Apr-1906,M,False
Unprovoked,AUSTRALIA,White shark,fatal,14-Apr-1906,M,True
Sea Disaster,INDONESIA,White shark,fatal x 2,Reported 10-April 1906,M,True
Invalid,AUSTRALIA,Questionable,cause of death may have been downing,Reported 02-April 1906,M,False
Invalid,NEW ZEALAND,Questionable,shark involvement prior to death was not determined,Reported 14-Feb-1906,M,False
Unprovoked,AUSTRALIA,White shark,fatal,28-Jan-1906,M,True
Unprovoked,SOUTH AFRICA,1.8 m to 2.7 m [6' to 9'] shark,"fatal, hips & thigh bitten",20-Jan-1906,M,True
Unprovoked,SOUTH AFRICA,2.4 m [8'] shark,"fatal, left torso, buttocks, thigh & foot bitten",31-Dec-1905,M,True
Invalid,AUSTRALIA,Shark involvement not confirmed,"""bad wound in the leg"" - 7-ft shark caught in the bath same day",29-Dec-1905,M,False
Unprovoked,AUSTRALIA,White shark,fatal. shark involvement suspected but not confirmed,29-Sep-1905,M,True
Provoked,USA,White shark,lacerations to leg from hooked shark provoked incident,Reported 06-Sep-1905,M,False
Invalid,EGYPT,"Tiger shark, 3.9 m",probable drowning & scavenging.,24-Aug-1905,M,False
Unprovoked,USA,White shark,3 toes of right foot were severed,Late Aug-1905,M,False
Unprovoked,PHILIPPINES,White shark,leg bitten,Aug-1905,M,False
Unprovoked,USA,White shark,body not recovered fatal,29-Jul-1905,M,True
Invalid,ITALY,Shark involvement prior to death was not confirmed,"body recovered from shark, probable drowning and scavenging",Reported 25-Jul-1905,M,False
Unprovoked,INDONESIA,White shark,fatal,10-Jul-1905,M,True
Unprovoked,USA,White shark,fatal,Jul-1905,M,True
Unprovoked,USA,White shark,lacerations to back & right leg,22-May-1905,M,False
Unprovoked,SOUTH AFRICA,White shark,"fatal, thigh bitten, femoral artery severed",06-Apr-1905,M,True
Unprovoked,AUSTRALIA,5' shark,righ thigh severely bitten,26-Mar-1905,M,False
Invalid,AUSTRALIA,Questionable,thought to have been taken by a shark,10-Feb-1905,M,False
Invalid,AUSTRALIA,Invalid,reported to have been killed by a shark but 2 years later he was found very much alive,01-Jan-1905,M,False
Unprovoked,PHILIPPINES,White shark,foot bitten,02-Nov-1904,M,False
Unprovoked,INDIAN OCEAN,White shark,fatal,Reported 11-Oct-1904,M,True
Unprovoked,CUBA,White shark,"fatal, left leg severed below knee, right leg severed above knee by a second shark",Sep-1904,M,True
Unprovoked,CUBA,White shark,"fatal, shark pulled them off hull of boat",Aug-1904,M,True
Unprovoked,USA,White shark,no injury,28-Jul-1904,M,False
Unprovoked,USA,White shark,"fatal, body not recovered",27-Jul-1904,M,True
Unprovoked,ITALY,White shark,fatal x 4. afterwards metal mesh nets were installed,Reported 01-Jul-1904,M,True
Unprovoked,AUSTRALIA,White shark,fatal,07-Feb-1904,M,True
Unprovoked,NEW ZEALAND,White shark,fatal,04-Feb-1904,M,True
Unprovoked,NEW CALEDONIA,White shark,fatal,23-Jan-1904,M,True
Unprovoked,REUNION ISLAND,White shark,fatal,1904,M,True
Invalid,USA,Questionable,leg bitten,1904,M,False
Unprovoked,PHILIPPINES,White shark,left arm bitten,1904,M,False
Unprovoked,USA,White shark,"fatal, disappeared, then shark caught with head and body of man, from waist down minus leg, in its gut",1904,M,True
Unprovoked,CUBA,White shark,fatal,04-Oct-1903,M,True
Unprovoked,USA,9' shark,lacerations to right arm & shoulder,Reported 16-Sep-1903,M,False
Unprovoked,FALKLAND ISLANDS,White shark,"right leg bitten, surgically amputated",July-1903 ,M,False
Unprovoked,AUSTRALIA,White shark,fatal,21-Jun-1903,M,True
Unprovoked,MEXICO,White shark,fatal x 3,04-May-1903,M,True
Unprovoked,AUSTRALIA,White shark,jumped off cliff,Reported 20-Mar-1903,M,False
Unprovoked,AUSTRALIA,White shark,fatal,12-Mar-1903,M,True
Unprovoked,AUSTRALIA,Bull shark,fatal,  10-Jan-1903,M,True
Unprovoked,CRETE,White shark,fatal,Summer of 1903,M,True
Unprovoked,USA,White shark,"fatal, remains (foot) recovered from shark 2 days later",Ca. 1903,M,True
Unprovoked,NICARAGUA,White shark,fatal,Reported 22-Dec-1902,M,True
Unprovoked,AUSTRALIA,White shark,fatal,10-Nov-1902,M,True
Unprovoked,USA,White shark,severe laceration to hand,Reported 01-Nov-1902,M,False
Unprovoked,ITALY,White shark,fatal,Reported 29-Aug-1902,M,True
Watercraft,CROATIA,White shark,"no injury to occupants, shark grabbed anchor rope & towed boat",Reported 24-Aug-1902,M,False
Unprovoked,USA,White shark,"fatal, both arms severed",08-Aug-1902,M,True
Provoked,ITALY,White shark,face & arms injured by hooked shark provoked incident,15-Jul-1902,M,False
Provoked,USA,White shark,shark bit his left arm after he grabbed its tail provoked incident,06-Jul-1902,M,False
Unprovoked,PHILIPPINES,White shark,"""nose hanging by a threat, prints of shark's teeth over entire right cheek""",02-Jun-1902,M,False
Unprovoked,EGYPT,White shark,bitten on hand and thigh,Jun-1902,M,False
Invalid,SOUTH AFRICA,Questionable,probable drowning & scavenging,Apr-1902,M,False
Provoked,NEW ZEALAND,White shark,"no injury, hooked shark bit tousers. provoked incident",.Reported 22-Feb-1902,M,False
Unprovoked,AUSTRALIA,White shark,fatal,Reported 25-Jan-1902,M,True
Invalid,SOUTH AFRICA,Questionable,possible drowning & scavenging. remains were recovered from a 15' shark's gut,Reported 19-Jan-1902,M,False
Unprovoked,AUSTRALIA,White shark,legs bitten,19-Jan-1902,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to torso & thigh,01-Dec-1901,M,False
Unprovoked,PHILIPPINES,White shark,right thigh bitten,Mid Oct-1901,M,False
Unprovoked,CYPRUS,2 m shark,"fatal, bitten on arms, chest & legs",Reported 23-Sep-1901,M,True
Unprovoked,SOUTH AFRICA,White shark,"right leg bitten & foot severed, right arm bitten, bones fractured & nearly severed fatal",30-Jul-1901,M,True
Invalid,ITALY,Questionable,"disappeared, but shark involvement unconfirmed",17-Jul-1901,M,False
Unprovoked,PHILIPPINES,White shark,"left thigh stripped of flesh 4"" above the knee",24-Jun-1901,M,False
Unprovoked,AUSTRALIA,White shark,"thigh bitten, fatal",30-Jan-1901,M,True
Unprovoked,USA,White shark,abdomen bitten,Summer 1901,M,False
Unprovoked,AUSTRALIA,White shark,fatal,27-Dec-1900,M,True
Unprovoked,SOUTH AFRICA,White shark,"fatal, legs severed",14-Nov-1900,M,True
Invalid,SOUTH AFRICA,Questionable,probable drowning & scavenging,27-Oct-1900,M,False
Unprovoked,AUSTRALIA,White shark,laceration to right leg,15-Sep-1900,M,False
Unprovoked,USA, ,no injury,13-Sep-1900,M,False
Unprovoked,USA,White shark,"bathing suit torn & ""imprints of the shark's teeth on his body""",05-Sep-1900,M,False
Unprovoked,USA,White shark,left hand lacerated,21-Aug-1900,M,False
Unprovoked,CROATIA,White shark,fatal,31-Jul-1900,M,True
Invalid,USA,Questionable,"believed drowned. uhlbrecht’s foot, and the pelvis & femur of another person recovered in gut of tiger shark shark caught on 17-aug-1900",14-Jul-1900,M,False
Unprovoked,AUSTRALIA,White shark,right posterior thigh bitten,  28-Jan-1900,M,False
Unprovoked,USA,White shark,severe abrasion when shark swam between his legs,Early 1900s,M,False
Unprovoked,SOUTH AFRICA,White shark,leg severed,Ca. 1900,M,False
Unprovoked,AUSTRALIA,White shark,bite to lower leg,18-Dec-1899,M,False
Unprovoked,LIBYA,White shark,lacerations to head,Reported 12-Oct-1899,M,False
Unprovoked,LIBYA,White shark,fatal,Reported 12-Oct-1899,M,True
Unprovoked,MEXICO,White shark,fatal,Reported 11-Sep-1899,M,True
Provoked,USA,Basking shark,"fatal, drowned or crushed when harpooned shark smashed their boat provoked incident",Reported 23-Aug-1899,M,True
Unprovoked,USA,3 m [10'] shark,fatal,15-Aug-1899,M,True
Unprovoked,EGYPT ,White shark,back muscles torn away,08-Aug-1899,M,False
Unprovoked,EGYPT ,White shark,"forearm, wrist & hand bitten",08-Aug-1899,M,False
Unprovoked,EGYPT,White shark,left leg bitten,08-Aug-1899,M,False
Unprovoked,BAHAMAS,White shark,fatal,Reported 08-Jul-1899,M,True
Provoked,ITALY,70 kg shark,multiple injuries from boated shark provoked incident,07-Jun-1899,M,False
Invalid,NEW ZEALAND,Shark involvement not confirmed,fatal,  02-Jun-1899,M,True
Invalid,PHILIPPINES,Shark involvement not confirmed,fatal,28-May-1899,M,True
Unprovoked,ITALY,White shark,fatal,Reported 04-May-1899,M,True
Invalid,AUSTRALIA,Questionable,drowning may mav preceded attack,28-Jan-1899,F,False
Unprovoked,SOUTH AFRICA,White shark,foot severed,1899 During the Seige of Ladysmith,M,False
Watercraft,USA,White shark,no injury to occupants. shark bit oar,1899,M,False
Unprovoked,USA,1.5 m [5'] shark,leg bitten,Ca. 1899,M,False
Unprovoked,AUSTRALIA,White shark,fatal,Reported 28-Dec-1898,M,True
Unprovoked,USA,White shark,fatal,28-Oct-1898,M,True
Unprovoked,WEST INDIES,White shark,fatal,Reported 07-Sep-1898,M,True
Unprovoked,USA,White shark,laceration to thigh,22-Aug-1898,M,False
Unprovoked,USA,White shark,"""cut up very badly""",Reported 14-Aug-1898,M,False
Invalid,AUSTRALIA,Questionable,"reported fatal, but this is a questionable incident",Reported 26-Jul-1898,M,True
Unprovoked,YEMEN ,White shark,"fatal, severe injuries to both arms & legs, 3 limbs surgically amputed & died after 3 days",15-Jul-1898,M,True
Unprovoked,YEMEN ,White shark,fatal,14-Jul-1898,M,True
Unprovoked,CUBA,White shark,fatal, Jul-1898,M,True
Unprovoked,NEW CALEDONIA,White shark,fatal,22-Jun-1898,M,True
Sea Disaster,FIJI,White shark,lacerations to thigh,13-Apr-1898,M,False
Unprovoked,SRI LANKA,White shark,fatal,1898.01.24,M,True
Invalid,CRETE,Questionable,unknown,Reported 1898,M,False
Unprovoked,USA,White shark,lacerations to left hand,1898,M,False
Unprovoked,CUBA,White shark,"fatal, 7 survived but 6 were taken by sharks",1898 (soon after the close of the Spanish-American War),M,True
Unprovoked,JAMAICA,White shark,"hand lacerated, 2 fingers severed",1898,F,False
Unprovoked,CUBA,White shark,"fatal, 4 were killed by sharks, 1 survived",1898,M,True
Unprovoked,USA,White shark,lacerations,1898-1899,M,False
Unprovoked,YEMEN ,White shark,fatal,Summer of 1898,M,True
Sea Disaster,USA,White shark,fatal,1898,M,True
Provoked,USA,White shark,hooked shark bit his leg provoked incident,Reported 04-Dec-1897,M,False
Invalid,MEXICO,Questionable,minor injuries,15-Oct-1897,M,False
Provoked,USA,"13'10"" shark",lacerations to hand by netted shark provoked incident,17-Sep-1897,M,False
Unprovoked,USA,White shark,lacerations to lower leg,06-Sep-1897,M,False
Unprovoked,SOUTH AFRICA,White shark,fatal,21-Jul-1897,M,True
Unprovoked,USA,White shark,fatal,Reported 15-Mar-1897,M,True
Unprovoked,NEW ZEALAND,White shark,lacerations to left arm,1897,M,False
Watercraft,AUSTRALIA,12' to 14' shark,no injury to occupants. shark bit boat several times,23-Decp1896,M,False
Unprovoked,NEW ZEALAND,White shark,"fatal, left arm severed at elbow,  right arm at wrist",20-Dec-1896,M,True
Unprovoked,NEW ZEALAND,White shark,fatal,Reported 17-Dec-1896,M,True
Unprovoked,AUSTRALIA,White shark,fatal,29-Nov-1896,M,True
Unprovoked,AUSTRALIA,White shark,fatal,01-Nov-1896,M,True
Unprovoked,SRI LANKA,White shark,leg severed,Reported 11-Sep-1896,M,False
Unprovoked,USA,White shark,fatal,25-Jul-1896,M,True
Unprovoked,USA,White shark,lacerations to foot and calf,Reported 21-Jun-1896,M,False
Unprovoked,AUSTRALIA,White shark,fatal, 11-Jan-1896,M,True
Unprovoked,USA,White shark,fatal,1896,M,True
Unprovoked,HAITI,White shark,leg severed below knee,1896,M,False
Unprovoked,AUSTRALIA,White shark,fatal,09-Dec-1895,M,True
Unprovoked,BARBADOS,White shark,leg bitten,Reported 21-Nov-1895,M,False
Unprovoked,AUSTRALIA,White shark,fatal,16-Nov-1895,M,True
Sea Disaster,CUBA,Questionable,probable drowning & scavenging,18-Sep-1895,M,False
Unprovoked,YEMEN ,White shark,fatal,Reported 14-Sep-1895,M,True
Unprovoked,USA,White shark,fatal,11-Aug-1895,M,True
Unprovoked,USA,White shark,arm bitten,2-Aug-1895,M,False
Unprovoked,JAPAN,White shark,fatal,Reported 16-Jul-1895,M,True
Unprovoked,AUSTRALIA,White shark,fatal,Reported 03-Jun-1895,M,True
Sea Disaster,BAHAMAS,White shark,heel bitten,21-May-1895,M,False
Unprovoked,NEW ZEALAND,White shark,fatal       thigh bitten,03-May-1895,M,True
Unprovoked,SOUTH AFRICA,White shark,"fatal, right arm lacerated",29-Apr-1895,M,True
Unprovoked,NEW ZEALAND,White shark,lacerations to foot,23-Apr-1895,M,False
Unprovoked,INDONESIA,White shark,fatal,Reported 29-Mar-1895,M,True
Unprovoked,AUSTRALIA,White shark,lower leg & foot bitten,15-Mar-1895,M,False
Unprovoked,AUSTRALIA,White shark,fatal,27-Feb-1895,M,True
Unprovoked,PANAMA,White shark,fatal,Reported 23-Feb-1895,M,True
Provoked,USA,12' shark,left leg bitten provoked incident,11-Dec-1894,M,False
Unprovoked,AUSTRALIA,10' to 12' shark,"""lost his arm""",28-Nov-1894,M,False
Unprovoked,USA,White shark,fatal,Reported 06-Oct-1894,M,True
Unprovoked,USA,White shark,lacerations to leg,Reported 12-Sep-1894,M,False
Unprovoked,FIJI,White shark,foot severed,Reported 06-Sep-1894,F,False
Provoked,USA,White shark,laceration to calf  provoked incident,Reported 01-Sep-1894,M,False
Unprovoked,USA,"Shovelnose shark, 5'",no injury,21-Aug-1894,F,False
Unprovoked,USA,White shark,lacerations to thigh,01-Aug-1894,M,False
Unprovoked,FRANCE,1.8 m shark,no injury,Reportd 15-Jul-1894,M,False
Unprovoked,USA,White shark,"""painfully injured"" but no details",29-Jun-1894,M,False
Unprovoked,SOUTH AFRICA,White shark,fatal,25-Jun-1894,M,True
Unprovoked,USA,White shark,right leg bitten,Reported 15-Jun-1894,M,False
Unprovoked,MEXICO,20' shark,fatal,Reported 15-Jun-1894,M,True
Unprovoked,BURMA,White shark,fatal,Reported 28-Apr-1894,F,True
Unprovoked,BURMA,White shark,fatal,Reported 28-Apr-1894,F,True
Unprovoked,INDIA,White shark,fatal,Reported 20-Oct-1893,M,True
Sea Disaster,PHILIPPINES,White shark,fatal,03-Jul-1893,M,True
Unprovoked,NIGERIA,White shark,fatal,Reported 22-Jun-1893,M,True
Unprovoked,LEBANON,White shark,fatal,22-Jun-1893,M,True
Unprovoked,FIJI,White shark,fatal,Reported 23-May-1893,F,True
Unprovoked,CUBA,White shark,fatal,17-May-1893,M,True
Unprovoked,SOUTH ATLANTIC OCEAN,White shark,"one leg severed by the shark, the other surgically amputated",Reported 15-Apr-1893,M,False
Unprovoked,AUSTRALIA,White shark,leg bitten,14-Apr-1893,M,False
Invalid,AUSTRALIA,Shark involvement prior to death unconfirmed,"fatal, probable drowning",04-Apr-1893,M,True
Unprovoked,NEW ZEALAND,White shark,fatal,Reported 30-Jan-1893,M,True
Unprovoked,FRENCH POLYNESIA,White shark,fatal.tossed overboard to sharks by rodrigue brothers who were later executed in manila,Reported 18-Jan-1893,M,True
Unprovoked,ATLANTIC OCEAN,White shark,fatal,15-Dec-1892,M,True
Unprovoked,AUSTRALIA,White shark,laceration to arm,Reported 09-Nov-1892,M,False
Unprovoked,AUSTRALIA,White shark,abrasions to left leg,06-Nov-1892,F,False
Unprovoked,USA,White shark,hand bitten,Reported 16-Sep-1892,M,False
Unprovoked,CUBA,White shark,fatal,Reported 20-Jun-1892,M,True
Unprovoked,NEW ZEALAND,White shark,minor injury to leg,Reported 19-May-1892,M,False
Unprovoked,BAHAMAS,16' shark,"fatal, leg severed",Reported 21-Apr-1892,M,True
Unprovoked,PACIFIC OCEAN,White shark,6 or 8 of the would-be rescuers were shot & the rest were killed by sharks,Reported 25-Mar-1892,M,False
Provoked,AUSTRALIA,12' shark,lacerations to calf by netted shark provoked incident,02-Mar-1892,M,False
Provoked,AUSTRALIA,White shark,fatal         bitten in two by shark that he molested with a knife. buried at batu island.  provoked incident,1892,M,True
Unprovoked,AUSTRALIA,White shark,foot severed,Reported 31-Dec-1891,M,False
Unprovoked,NEW ZEALAND,White shark,hand bitten,Reported 22-Dec-1891,M,False
Unprovoked,MARTINIQUE,White shark,injured,29-Nov-1891,M,False
Unprovoked,CANADA,White shark,fatal,Reported 30-Aug-1891,M,True
Provoked,USA,White shark,"survived, provoked incident",29-Aug-1891,M,False
Invalid,USA,Shark involvement prior to death unconfirmed,"fatal, but death may have been due to drowning",11-Jun-1891,M,True
Unprovoked,JAMAICA,White shark,fatal,Reported 08-Jan-1891,M,True
Unprovoked,BRITISH NEW GUINEA,White shark,arm bitten,Reported 27-Dec-1890,M,False
Unprovoked,ATLANTIC OCEAN,White shark,fatal,Reported 25-Oct-1890,M,True
Unprovoked,USA,White shark,severe lacerations to left arm.,9-Aug-1890,M,False
Unprovoked,SAMOA,White shark,both legs severed, 08-Aug-1890,M,False
Unprovoked,CROATIA,White shark,legs severed,06-26-1890,M,False
Unprovoked,PERSIAN GULF,White shark,severe lacerations to foot,Reported 14-Jun-1890,M,False
Unprovoked,EGYPT,White shark,fatal,Reported 02-Jun-1890,M,True
Invalid,SOUTH AFRICA,Invalid,"forensic evidence indicated death resulted from drowning, his body was subsequently scavenged by a shark",14-May-1890,M,False
Watercraft,MALTA,White shark,"fatal, 2 men were lost, presumed taken by the shark",25-Feb-1890,M,True
Unprovoked,AUSTRALIA,"Sevengill shark, 14', was caught in the vicinity",knee bitten,1890 ,M,False
Unprovoked,INDIA,White shark,no details,1890,M,False
Unprovoked,INDIA,White shark,no details,1890,M,False
Unprovoked,NEW ZEALAND,White shark,fatal,1890,M,True
Unprovoked,SOUTH AFRICA,White shark,"fatal, leg bitten, foot partly severed",Ca. 1890,M,True
Unprovoked,AUSTRALIA,White shark,fatal,22-Nov-1889,M,True
Invalid,USA,Shark involvement prior to death unconfirmed,speculated that he was taken by a shark but most likely drowned,16-Nov-1889,M,False
Unprovoked,INDIA,White shark,fatal,Reported 03-Oct-1889,M,True
Unprovoked,USA,White shark,"fatal, calf bitten",21-Jul-1889,M,True
Unprovoked,USA,18' shark,leg bitten,  19-Jul-1889,M,False
Unprovoked,AUSTRALIA,White shark,fatal,08-Jul-1889,M,True
Unprovoked,SIERRA LEONE,White shark,fatal,Jan-1889,M,True
Unprovoked,INDIAN OCEAN,White shark,foot severed,Reported 25-Dec-1888,M,False
Unprovoked,AUSTRALIA,White shark,fatal,09-Dec-1888,M,True
Unprovoked,AUSTRALIA,White shark,fatal,Dec-1888,M,True
Sea Disaster,CANADA,White shark,fatal,14-Aug-1888,M,True
Invalid,JAMAICA,Shark involvement prior to death unconfirmed,human remains recovered from a 10' to 12' shark caught in a turtle net,Reported 20-Jul-1888,M,False
Sea Disaster,INDIA,White shark,"fatal, only 1 of her crew of 7 survived",Reported 13-Jul-1888,M,True
Invalid,AUSTRALIA,Shark involvement prior to death unconfirmed,probable drowning & scavenging,Reported 18-Jun-1888,M,False
Unprovoked,NEW ZEALAND,"Unknown, but the shark was caught and put on exhibition","arm severely lacerated, surgically amputated",17-Feb-1888,M,False
Unprovoked,SOUTH AFRICA,White shark,fatal,Feb-1888,M,True
Watercraft,AUSTRALIA,White shark,"shark bit boat, but no injury to occupant who swam ashore",22-Jan-1888,M,False
Unprovoked,LIBYA,White shark,lacerations to thorax and hands,1888,M,False
Unprovoked,HONDURAS,White shark,fatal,Reported 22-Dec-1887,M,True
Unprovoked,AUSTRALIA,12' to 14' shark,fatal,04-Dec-1887,M,True
Unprovoked,USA,White shark,fatal,18-Oct-1887,M,True
Sea Disaster,BAHAMAS,White shark,fatal,October 1887,M,True
Unprovoked,ITALY,White shark,leg injured,22-Sep-1887,M,False
Unprovoked,NEW ZEALAND,White shark,fatal,Reported 08-Feb-1887,M,True
Sea Disaster,BRAZIL,White shark,fatal,20-Jan-1887,M,True
Unprovoked,SOUTH AFRICA,White shark,"fatal, flesh removed hip to knee, calf & heel bitten",12-Jan-1887,M,True
Sea Disaster,OCEAN,White shark,foot severed,1887,M,False
Watercraft,USA,Shark was said to “have a very rough ½”-thick skin”,"shark attacked boat, shark killed & towed to shore",Mid-Aug-1886,M,False
Watercraft,USA,3 m [10'] sharks,"no injury. they were chased by three sharks, one of which rammed their boat",Aug-1886,M,False
Unprovoked,USA,White shark,12-inch laceration to right calf,10-Jul-1886,M,False
Unprovoked,AUSTRALIA,White shark,fatal,17-Jun-1886,M,True
Invalid,USA,Shark involvement prior to death unconfirmed,"the body of one woman had been bitten by a shark but it is not known if she was alive at the time, the other woman disappeared",02-Jun-1886,F,False
Unprovoked,NEW CALEDONIA,White shark,fatal,06-May-1886,M,True
Unprovoked,AUSTRALIA,White shark,wrist bitten,26-Apr-1886,M,False
Invalid,NEW ZEALAND,Shark involvement prior to death unconfirmed,probable drowning & scavenging,11-Apr-1886,M,False
Invalid,NEW ZEALAND,Questionable,left leg severed. probably confusion with gsaf 1886.01.28,Reported 06-Mar-1886,M,False
Invalid,AUSTRALIA,Shark involvement prior to death unconfirmed,his body was found in a tiger shark; next day other human remains found in sharks at berry's bay,Mar-1886,M,False
Watercraft,AUSTRALIA,White shark,"no injury to occupants, shark shook boat ""stem to stern""",13-Feb-1886,M,False
Unprovoked,SOUTH AFRICA,White shark,"chest & buttocks bitten, left leg severed at knee",28-Jan-1886,M,False
Unprovoked,AUSTRALIA,White shark,foot bitten,26-Jan-1886,M,False
Unprovoked,SOUTH AFRICA,White shark,fatal. partial remains washed ashore the next day,01-Jan-1886,M,True
Unprovoked,AUSTRALIA,White shark,leg severed,1886,M,False
Unprovoked,AUSTRALIA,White shark,laceration to calf,26-Nov-1885,M,False
Unprovoked,ATLANTIC OCEAN,White shark,fatal,17-Aug-1885,M,True
Sea Disaster,USA,White shark,left arm severed,26-Jul-1885,M,False
Sea Disaster,USA,White shark,laceration to torso,26-Jul-1885,M,False
Sea Disaster,USA,White shark,fatal,26-Jul-1885,M,True
Unprovoked,NEW ZEALAND,White shark,lacerations to lower leg,09-Apr-1885,M,False
Unprovoked,SOUTH AFRICA,3 m [10'] shark,"no injury to occupant, rammed oar in shark's mouth and it bit the oar",28-Mar-1885,M,False
