type,country,species,injury,date,sex,fatal
Unprovoked,USA,White shark,laceration to left posterior thigh,07 Aug-2023,F,False
Unprovoked,USA,White shark,ankle injured,31 Jul-2023,M,False
Unprovoked,USA,White shark,lower leg bitten,30 Jul-2023,M,False
Unprovoked,USA,White shark,superficial injuries to abomen and thighs,29 Jul-2023,F,False
Unprovoked,AUSTRALIA,Wfite shark,laceration to leg,24 Jul-2023,M,False
Unprovoked,AUSTRALIA,Wobbegong shark,lower left leg bitten,22 Jul-2023,M,False
Unprovoked,USA,8' shark,right foot injured,21 Jul-2023,M,False
Unprovoked,COLOMBIA,Oceanic whitetip shark,"lower right leg bittenla patria, 7/20/2023w",18 Jul-2023,M,False
Unprovoked,USA,White shark,superficial injury to back,15 Jul-2023,M,False
Unprovoked,USA,White shark,severe injury to foot,14 Jul-2023,M,False
Unprovoked,ECUADOR,White shark,serious injury to right leg,04 Jul-2023,F,False
Unprovoked,USA,4' shark,puncture wounds to thigh,04 Jul-2023,F,False
Unprovoked,USA,3' shark,injury to right hand,04 Jul-2023,M,False
Unprovoked,USA,White shark,laceration to right knee,04 Jul-2023,M,False
Unprovoked,USA,White shark,injury to left heel and toes,03 Jul-2023,M,False
Unprovoked,USA,Sand tiger shark,3 small puncture wounds to left leg,03 Jul-2023,F,False
Unprovoked,USA,White shark,multiple puncture wounds to right thigh,23-Jun-2023,F,False
Unprovoked,USA,White shark,hand bitten,23-Jun-2023,M,False
Unprovoked,USA,Tiger sharks,sharks bit their inflatable boats,Reported 14-June 2023,M,False
Unprovoked,EGYPT,"Tiger shark, 13'",fatal,08-Jun 2023,M,True
Unprovoked,BAHAMAS,Caribbean rreef shark,calf severely bitten,07-Jun-2023,F,False
Unprovoked,FRENCH POLYNESIA,"Grey reef shark, 2 m",buttock bitten,28-May 2023,F,False
Unprovoked,NEW CALEDONIA,White shark,"fatal, bite to leg, shoulder and head",28-May 2023,M,True
Unprovoked,TURKS and CaICOS,Caribbean reef shark,left foot severed,24-May 2023,F,False
Questionable,BAHAMAS,Shark involvement not confirmes,"presumed fatal, body not recovered",24 May 2023,M,True
Provoked,USA,"18"" - 23"" Horn shark",bitten on hand minor injury,2023-05-20 00:00:00,F,False
Unprovoked,USA,White shark,lacerations to left foot and calf,21-May 2023,F,False
Provoked,USA,White shark,provoked incident   hooked shark bit his foot,19 -May 2023,M,False
Unprovoked,USA,White shark,,18-May-2023,M,False
Unprovoked,USA,White shark,minor inuries to right knee,14-May-2023,F,False
Unprovoked,AUSTRALIA,White shark,fatal,13-May-2023,M,True
Unprovoked,USA,"Bull shark, 4'",multiple bites,11-May-2023,F,False
Provoked,USA,Tiger shark,"shark bit kayak, no inury to occupant",11-May-2023,M,False
 Provoked,CUBA,Bull shark,fatal,09 May-2023,M,True
Unprovoked,USA,White shark,injury to lower leg,05-May-2023,M,False
Unprovoked,SOUTH AFRICA,White shark,leg injured,03-May-2023,M,False
Unprovoked,SOUTH AFRICA,White shark,shoulder injured,01-May-2023,M,False
Unprovoked,AUSTRALIA,1m shark,minor injuries,29-Apr-2023,M,False
Unprovoked,AUSTRALIA,White shark,cuts to leg,29-Apr-2023,M,False
Unprovoked,USA,"Bull shark, 6'",minor injury to lower right leg,23-Apr-2023,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 1.5 m",bite to right arm,22-Apr-2023,M,False
Unprovoked,USA,White shark,lacerations to leg,11-Apr-2023,F,False
Watercraft,USA,White shark,"no injury, kayak damaged",09-Apr-2023,M,False
Unprovoked,USA,"Tiger shark, 8'-10'",injuries to right foot,09-Apr-2023,M,False
Unprovoked,USA,White shark,lacertions to right calf,25-Mar-2023,M,False
Provoked,CUBA,White shark,arm bitten,25-Mar-2023,M,False
Unprovoked,AUSTRALIA,White shark,lower left leg and foot injured,22-Mar-2023,M,False
Unprovoked,USA,Blacktip reef shark 5',left hand and  left leg.,19-Mar-2023,M,False
Questionable,MEXICO,Authorities report injury caused bya barracuda,significant  injury to leg,17-Mar-2023,M,False
Unprovoked,BRAZIL,White shark,left arm severly injured,06-Mar-2023,F,False
Unprovoked,BRAZIL,White shark,right thigh bitten resulting in surgical amputation,05-Mar-2023,M,False
Unprovoked,SEYCHELLES,Lemon shark,left foot bitten,02-Mar-2023,M,False
Unprovoked,BRAZIL,White shark,injuries to left thih and calf,21-Feb-2023,M,False
Unprovoked,NEW CALEDONIA,Bull shark,"fatal, multiple injuries",19-Feb-2023,M,True
Unprovoked,USA,White shark,injury to lower leg,19-Feb-2023,M,False
Questionable,ARGENTINA,White shark,death by misadventure,18-Feb-2023,M,False
Questionable,FIJI,White shark,questionable,17-Feb-2023,M,False
Unprovoked,AUSTRALIA,Bull shark,fatal,04-Feb-2023,F,True
Unprovoked,AUSTRALIA,A small shark,minor injury to chest,30-Jan-2023,M,False
Unprovoked,NEW CALEDONIA,Bull shark,"hands, back and thigh inujured",29 Jan--2023,M,False
Unprovoked,USA,White shark,lacerations to leg,08-Jan--2023,M,False
Unprovoked,MeXICO,White shark,fatal,05-Jan-2023,M,True
Provoked,USA,Mako shark,knocked spear out of his hands and fin bitten,01-Jan-2023,M,False
Provoked,Maldives,Nurse shark,minor injury to shoulder and back,Jan-2023,F,False
Provoked,South Africa,Blacktip,hamd bitten,30-Dec-2022,M,False
Unprovoked,USA,Tiger  shark?,"lower left torso, defensive wounds to hands",13-Dec-2022,M,False
Unprovoked,AUSTRALIA,White shark,lower leg.h bitten,11 Dec-2022,M,False
Unprovoked,USA,White shark,left leg bitten,09-Dec-2022,M,False
Unprovoked,USA,Tiger shark,fatal attack,08-Dec-2022,F,True
Unprovoked,USA,Blacktip,foot bitten,07-Dec-2022,M,False
Unprovoked,USA,White shark,foot bitten,27-Nov-2022,F,False
Unprovoked,USA,Juvenile white shark,shallow punctures & lacerations to right thigh,04-Nov-2022,F,False
Provoked,USA,White shark,right knee & thigh bitten by hooked shark,03-Nov-2022,M,False
Unprovoked,USA,White shark,minor inury from shark's fin,31-Oct-2022,M,False
Sea Disaster,USA,White shark,minor injuries to hands,28-Oct-2022,M,False
Unprovoked,BAHAMAS,White shark,torso bitten,28-Oct-2022,M,False
Provoked,USA,5'shark,minor injuries,27-Oct-2022,M,False
Unprovoked,USA,Tiger shark?,"no injury, swim fin bitten",25 Oct-2022,M,False
Unprovoked,AUSTRALIA,3m shark,"no injury, ski holed by shark",23-Oct-2022,M,False
Provoked,USA,Juvenile nurse shark,minor injury to leg by hooked shark,10-Oct-2022,M,False
Unprovoked,USA,White shark,hand bitten,08-Oct-2022,M,False
Unprovoked,AUSTRALIA,Bull shark,"multiple injuries to left shoulder, arm and hand",07-Oct-2022,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to foot,06-Oct-2022,M,False
Unprovoked,USA,"White shark, 13'",thigh injured,02-Oct-2022,M,False
